old_name,new_name
Zto2Nu-4Jets_HT-XtoX_BGenFilter_TuneCP5_13p6TeV_madgraphMLM-pythia8,Zto2Nu-4Jets_Bin-HT-XtoX_Fil-BGen_TuneCP5_13p6TeV_madgraphMLM-pythia8
Zto2Q-4Jets_HT-XtoX_TuneCP5_13p6TeV_madgraphMLM-pythia8,Zto2Q-4Jets_Bin-HT-XtoX_TuneCP5_13p6TeV_madgraphMLM-pythia8
Zto2Q-2Jets_PTQQ-40to100_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,Zto2Q-2Jets_Bin-1J-PTQQ-40to100_TuneCP5_13p6TeV_amcatnloFXFX-pythia8
Zto2Q-2Jets_PTQQ-100to200_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,Zto2Q-2Jets_Bin-1J-PTQQ-100to200_TuneCP5_13p6TeV_amcatnloFXFX-pythia8
Zto2Q-2Jets_PTQQ-200to400_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,Zto2Q-2Jets_Bin-1J-PTQQ-200to400_TuneCP5_13p6TeV_amcatnloFXFX-pythia8
Zto2Q-2Jets_PTQQ-400to600_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,Zto2Q-2Jets_Bin-1J-PTQQ-400to600_TuneCP5_13p6TeV_amcatnloFXFX-pythia8
Zto2Q-2Jets_PTQQ-600_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,Zto2Q-2Jets_Bin-1J-PTQQ-600_TuneCP5_13p6TeV_amcatnloFXFX-pythia8
blank,blank
Zto2Q-2Jets_PTQQ-40to100_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,Zto2Q-2Jets_Bin-2J-PTQQ-40to100_TuneCP5_13p6TeV_amcatnloFXFX-pythia8
Zto2Q-2Jets_PTQQ-100to200_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,Zto2Q-2Jets_Bin-2J-PTQQ-100to200_TuneCP5_13p6TeV_amcatnloFXFX-pythia8
Zto2Q-2Jets_PTQQ-200to400_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,Zto2Q-2Jets_Bin-2J-PTQQ-200to400_TuneCP5_13p6TeV_amcatnloFXFX-pythia8
Zto2Q-2Jets_PTQQ-400to600_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,Zto2Q-2Jets_Bin-2J-PTQQ-400to600_TuneCP5_13p6TeV_amcatnloFXFX-pythia8
Zto2Q-2Jets_PTQQ-600_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,Zto2Q-2Jets_Bin-2J-PTQQ-600_TuneCP5_13p6TeV_amcatnloFXFX-pythia8
blank,blank
ZGto2NuG-1Jets_PTG-10to100TuneCP5_13p6TeV_amcatnloFXFX-pythia8,ZGto2NuG-1Jets_Bin-PTG-10to100_TuneCP5_13p6TeV_amcatnloFXFX-pythia8
ZGto2NuG-1Jets_PTG-100to200TuneCP5_13p6TeV_amcatnloFXFX-pythia8,ZGto2NuG-1Jets_Bin-PTG-100to200_TuneCP5_13p6TeV_amcatnloFXFX-pythia8
